Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
24.78,-1.06018489382e-16,0.219432097723,-7.06789929214e-17,0.171149475863,-7.06789929214e-17,0.326990371849,-0.0,-0.218988657862,-1.41357985843e-16,-0.271038956936,-0.0,-0.427829548092,-1.41357985843e-16,-0.206407522347
24.32,-7.06789929214e-17,-0.1811493556,-7.06789929214e-17,-0.118968700274,-0.0,-0.38939340816,-7.06789929214e-17,0.188856841592,-0.0,0.322012283347,-0.0,-0.48827973855,-2.12036978764e-16,-0.170601360859
12.32,-1.41357985843e-16,-0.219280263113,-7.06789929214e-17,0.0827057718744,-7.06789929214e-17,0.249492784766,-7.06789929214e-17,0.232420554611,-7.06789929214e-17,-0.36848255476,-1.76697482304e-16,-0.500068688102,-1.41357985843e-16,-0.164799927686
7.36,-7.06789929214e-17,-0.302537589689,-1.41357985843e-16,-0.194995770263,-1.41357985843e-16,-0.288884214929,-7.06789929214e-17,0.315726538311,-7.06789929214e-17,0.205155768014,-7.06789929214e-17,-0.493892179153,-0.0,-0.156491745696
5.24,-1.41357985843e-16,-0.312952607354,-7.06789929214e-17,-0.203116219059,-0.0,-0.276608630993,-7.06789929214e-17,0.32445921543,-7.06789929214e-17,0.186566571654,-1.41357985843e-16,-0.495350614598,-1.41357985843e-16,-0.154846386403
25.22,-0.0,-0.368418216143,-7.06789929214e-17,-0.238596468178,-0.0,-0.109704389836,-1.41357985843e-16,0.385616620767,-1.41357985843e-16,0.0211035914473,-0.0,-0.498267767368,-1.41357985843e-16,-0.144362238724
20.78,-7.06789929214e-17,-0.242067156847,-1.41357985843e-16,0.0590791263485,-0.0,0.23845724268,-1.41357985843e-16,0.259372933897,-7.06789929214e-17,-0.374387992891,-7.06789929214e-17,-0.500068818104,-7.06789929214e-17,-0.159988304294
9.16,-7.06789929214e-17,-0.231429792604,-1.41357985843e-16,0.0705793210555,-7.06789929214e-17,0.241579843148,-1.76697482304e-16,0.249074769207,-1.41357985843e-16,-0.369378675933,-7.06789929214e-17,-0.500068775783,-7.06789929214e-17,-0.162136168983
19.6,-7.06789929214e-17,0.0138697070943,-7.06789929214e-17,0.137548876558,-0.0,0.333541934608,-7.06789929214e-17,-0.000477751163247,-0.0,-0.34944028778,-0.0,-0.492085178442,-1.76697482304e-16,-0.185409777056
25.66,-1.41357985843e-16,0.304117207391,-1.41357985843e-16,0.18935084769,-7.06789929214e-17,-0.0347927507246,-7.06789929214e-17,-0.293523957943,-7.06789929214e-17,-0.0103755748,-7.06789929214e-17,-0.382781132582,-7.06789929214e-17,-0.220054670472
29.56,-0.0,-0.258439600967,-7.06789929214e-17,-0.164692768923,-7.06789929214e-17,-0.34641679627,-0.0,0.271524480592,-7.06789929214e-17,0.258184744113,-7.06789929214e-17,-0.490063250445,-1.41357985843e-16,-0.162129321712
9.6,-0.0,-0.046472073095,-0.0,-0.0435891961149,-0.0,-0.40971396657,-0.0,0.0538487837869,-7.06789929214e-17,0.365635160225,-0.0,-0.485525787106,-7.06789929214e-17,-0.184722765342
6.32,-1.76697482304e-16,-0.280468892592,-0.0,-0.17880503496,-1.06018489382e-16,-0.3195416941,-0.0,0.294441670058,-7.06789929214e-17,0.224464994028,-1.76697482304e-16,-0.492635217662,-2.82715971686e-16,-0.159445375129
16.32,-0.0,0.240838371599,-7.06789929214e-17,0.18050697235,-2.12036978764e-16,0.3123542483,-7.06789929214e-17,-0.244804600923,-1.76697482304e-16,-0.261173025422,-0.0,-0.414438102707,-1.41357985843e-16,-0.20884344798
9.96,-0.0,0.272389691119,-1.41357985843e-16,0.197106073686,-0.0,0.266733415175,-0.0,-0.265930982026,-1.41357985843e-16,-0.238510317815,-1.41357985843e-16,-0.388284205082,-7.06789929214e-17,-0.212665130163
26.1,-7.06789929214e-17,-0.297353478351,-1.41357985843e-16,-0.0125299976114,-7.06789929214e-17,0.211484410587,-1.41357985843e-16,0.316918381288,-7.06789929214e-17,-0.340994548574,-7.06789929214e-17,-0.500071555484,-7.06789929214e-17,-0.152178387676
17.24,-7.06789929214e-17,0.313056190757,-7.06789929214e-17,0.213308870676,-0.0,0.0263817503732,-0.0,-0.298211061146,-7.06789929214e-17,-0.0703516791181,-7.06789929214e-17,-0.360543142227,-0.0,-0.220567194213
2.38,-3.53394964607e-17,0.265654114501,-1.41357985843e-16,0.131662838931,-0.0,-0.175949096905,-7.06789929214e-17,-0.254579561811,-1.41357985843e-16,0.208559836546,-7.06789929214e-17,-0.447757181158,-7.06789929214e-17,-0.21621309322
18.14,-1.41357985843e-16,0.157067084994,-7.06789929214e-17,0.0615741111826,-7.06789929214e-17,-0.318442933961,-0.0,-0.149616007215,-0.0,0.294643593275,-7.06789929214e-17,-0.467557049049,-0.0,-0.204915425733
11.38,-1.41357985843e-16,-0.349533219665,-7.06789929214e-17,-0.140523664362,-0.0,0.149295394278,-7.06789929214e-17,0.370373514814,-1.41357985843e-16,-0.241181343937,-7.06789929214e-17,-0.50007693337,-7.06789929214e-17,-0.144435360987
12.78,-0.0,-0.0179947091158,-1.41357985843e-16,-0.0297634816176,-0.0,-0.406390055771,-0.0,0.026835679186,-7.06789929214e-17,0.367817532965,-7.06789929214e-17,-0.484735737846,-1.41357985843e-16,-0.187694186389
