Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
24.78,-0.0,0.0917752876521,-0.0,0.132243449571,-7.06789929214e-17,0.390319466928,-0.0,-0.167949385168,-1.41357985843e-16,-0.451525026835,-0.0,0.0972444925713,-0.0,-0.295200613108
24.32,-7.06789929214e-17,0.332533770552,-1.41357985843e-16,-0.0195129752365,-7.06789929214e-17,-0.239978495385,-7.06789929214e-17,-0.113814706283,-1.41357985843e-16,-0.498028052013,-0.0,0.238340346251,-0.0,-0.0422206555634
12.32,-1.41357985843e-16,0.277642639075,-7.06789929214e-17,0.319828757695,-7.06789929214e-17,0.196074026218,-1.06018489382e-16,-0.400771080981,-1.41357985843e-16,-0.457125398479,-0.0,0.386207983434,-7.06789929214e-17,-0.137371678202
7.36,-7.06789929214e-17,0.304000901853,-0.0,0.349402919072,-7.06789929214e-17,0.162998972571,-7.06789929214e-17,-0.428685012054,-0.0,-0.455931266932,-1.41357985843e-16,0.427801068311,-7.06789929214e-17,-0.101835659793
5.24,-7.06789929214e-17,-0.159495993556,-7.06789929214e-17,-0.206734213427,-0.0,0.306119118049,-0.0,0.174038346503,-7.06789929214e-17,-0.289328237631,-0.0,-0.316171253083,-7.06789929214e-17,-0.412533683543
25.22,-7.06789929214e-17,-0.0910734076605,-7.06789929214e-17,-0.413523203706,-0.0,-0.0510637103818,-0.0,0.235702774464,-0.0,-0.163245288331,-0.0,-0.435226448627,-0.0,-0.396429523199
20.78,-0.0,0.364555462148,-7.06789929214e-17,0.31598317752,-2.12036978764e-16,-0.140501894451,-0.0,-0.355889274945,-7.06789929214e-17,-0.460418981917,-0.0,0.445693185029,-1.41357985843e-16,0.0149841557456
9.16,-7.06789929214e-17,-0.129639071117,-1.41357985843e-16,-0.390942237199,-7.06789929214e-17,-0.0340108905616,-7.06789929214e-17,0.251169814997,-7.06789929214e-17,-0.14225957675,-7.06789929214e-17,-0.455856418471,-7.06789929214e-17,-0.409507267894
19.6,-0.0,0.353860527709,-0.0,0.350810912891,-7.06789929214e-17,-0.0806286702746,-7.06789929214e-17,-0.37441982459,-1.41357985843e-16,-0.460302656096,-0.0,0.461040178618,-7.06789929214e-17,-0.0121073339611
25.66,-0.0,0.364579640767,-7.06789929214e-17,0.204912022863,-7.06789929214e-17,-0.179178936376,-7.06789929214e-17,-0.309605100944,-0.0,-0.475876509654,-0.0,0.414376900586,-0.0,0.0187594525181
29.56,-0.0,0.29774257363,-0.0,0.339975444648,-1.76697482304e-16,0.165114160605,-7.06789929214e-17,-0.419776673033,-0.0,-0.456665302931,-0.0,0.418967911614,-0.0,-0.110843356948
9.6,-7.06789929214e-17,0.35974709274,-2.12036978764e-16,0.119742192779,-1.41357985843e-16,-0.208879146263,-7.06789929214e-17,-0.259508785929,-1.41357985843e-16,-0.46357853597,-0.0,0.357178085509,-0.0,0.00980796205944
6.32,-7.06789929214e-17,0.0354857570206,-7.06789929214e-17,0.043264952857,-0.0,0.387669983218,-0.0,-0.0889687723195,-1.41357985843e-16,-0.44436075044,-7.06789929214e-17,0.0229094228403,-3.53394964607e-17,-0.327050408901
16.32,-7.06789929214e-17,-0.145900055201,-1.41357985843e-16,-0.20241440357,-7.06789929214e-17,0.300569895338,-1.06018489382e-16,0.177964627547,-7.06789929214e-17,-0.302788028477,-3.53394964607e-17,-0.279914192878,-0.0,-0.407385558979
9.96,-0.0,0.132847009664,-1.41357985843e-16,0.151520765212,-7.06789929214e-17,0.358483992441,-7.06789929214e-17,-0.225145810226,-7.06789929214e-17,-0.457074382256,-7.06789929214e-17,0.152774181117,-0.0,-0.268794179542
26.1,-0.0,-0.0472623700838,-0.0,-0.0322047215359,-0.0,0.395850086212,-1.41357985843e-16,0.0194436760874,-0.0,-0.410844678079,-0.0,-0.0949968710095,-0.0,-0.367018009721
17.24,-0.0,0.289245920959,-0.0,0.331083474264,-1.41357985843e-16,0.177849300357,-7.06789929214e-17,-0.407337246631,-1.06018489382e-16,-0.455028531078,-0.0,0.404909761337,-0.0,-0.122458735437
2.38,-2.12036978764e-16,0.336725388907,-1.41357985843e-16,0.377124655791,-7.06789929214e-17,0.0335201248539,-0.0,-0.433861798781,-0.0,-0.456138286909,-7.06789929214e-17,0.45720482815,-7.06789929214e-17,-0.0476392755223
