generation;index;fitness
0;0;(27.76581014455664,)
0;1;(-9.120338353132283,)
0;2;(6.9564252763375505,)
0;3;(7.22654004579996,)
0;4;(-36.920155090527956,)
1;0;(27.76581014455664,)
1;1;(32.13035490850194,)
1;2;(10.451991427356775,)
1;3;(-4.089482200602188,)
1;4;(6.9564252763375505,)
0;0;(27.76581014455664,)
0;1;(-9.120338353132283,)
0;2;(6.9564252763375505,)
0;3;(7.22654004579996,)
0;4;(-36.920155090527956,)
1;0;(27.76581014455664,)
1;1;(32.13035490850194,)
1;2;(10.451991427356775,)
1;3;(-4.089482200602188,)
1;4;(6.9564252763375505,)
2;0;(32.01600478227181,)
2;1;(7.545032040415785,)
2;2;(27.76581014455664,)
2;3;(13.680976522484489,)
2;4;(32.13035490850194,)
3;0;(40.38663930700366,)
3;1;(23.20636002960504,)
3;2;(27.76674038424317,)
3;3;(23.073280944918352,)
3;4;(32.13035490850194,)
4;0;(43.468802474028195,)
4;1;(32.92316459603521,)
4;2;(47.29530626434948,)
4;3;(37.684950859896404,)
4;4;(32.13035490850194,)
