Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6,Universal_Angle_1_7,Universal_Angle_2_7,Universal_Angle_1_8,Universal_Angle_2_8,Universal_Angle_1_9,Universal_Angle_2_9,Universal_Angle_1_10,Universal_Angle_2_10,Universal_Angle_1_11,Universal_Angle_2_11,Universal_Angle_1_12,Universal_Angle_2_12,Universal_Angle_1_13,Universal_Angle_2_13,Universal_Angle_1_14,Universal_Angle_2_14,Universal_Angle_1_15,Universal_Angle_2_15
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
24.78,-1.41369064964e-16,-0.140328168703,-1.41363424124e-16,-0.134730451797,-1.41377914188e-16,-0.161228253595,-1.41424140326e-16,-0.219106120751,-2.82849306906e-16,-0.610621236794,-2.62649643511e-17,-0.355586325081,-0.0,-0.407988728347,-0.0,-0.461049831302,-2.83100469479e-16,0.422864818936,-1.77044337545e-17,0.380782352911,-0.0,0.318181122648,-0.0,-0.0680052478969,-0.0,0.16353208991,-0.0,0.13678141678,-0.0,0.113936486108,-1.41393822973e-16,0.116625605594
24.32,-2.82720966525e-16,-0.47229824693,-1.41359523638e-16,-0.474987701362,-3.53396493491e-16,-0.458030425975,-2.15751660841e-18,-0.392144065371,-1.41461735521e-16,-0.492502278747,-1.43038116192e-16,-0.269573200271,-0.0,-0.209466986527,-0.0,-0.152344353559,-1.41974898378e-16,0.136787640719,-1.42333597936e-16,0.173946331352,-0.0,0.234998276265,-0.0,0.477846585374,-0.0,0.52851916171,-0.0,0.428548170505,-0.0,0.459372541777,-2.82734618823e-16,0.473224497563
12.32,-2.82728699916e-16,-0.474456448432,-2.82716651133e-16,-0.480436262909,-0.0,-0.464736541197,-3.33006178958e-20,-0.459276912547,-1.41447390028e-16,-0.433253103711,-1.28871425913e-17,-0.27126796118,-0.0,-0.204966825268,-0.0,-0.146775456259,-2.12181616023e-16,0.141681304801,-9.20877436495e-18,0.176617403886,-0.0,0.234535805376,-0.0,0.648303773923,-1.41399822732e-16,0.375417273277,-0.0,0.425889030891,-0.0,0.458346768968,-5.58038016456e-18,0.473091327359
7.36,-3.54528255247e-18,-0.476783951743,-1.13729499706e-18,-0.469690684885,-0.0,-0.443103573468,-0.0,-0.474518364683,-2.82759021038e-16,-0.505898889203,-8.29467090207e-18,-0.245410771993,-0.0,-0.183247924964,-0.0,-0.137963940893,-1.41509481262e-16,0.134342526486,-2.82808120472e-16,0.155405015603,-0.0,0.203356762927,-0.0,0.744056271491,-5.68181975614e-18,0.335852023226,-0.0,0.389005605738,-0.0,0.429635680381,-1.41527309912e-16,0.457305460896
5.24,-4.07382689929e-18,-0.436674641483,-1.47121284161e-18,-0.462635810931,-0.0,-0.464808886924,-0.0,-0.426203900157,-1.41427994855e-16,-0.279737876431,-2.82786994492e-16,-0.293071089745,-0.0,-0.248136381873,-0.0,-0.184143976812,-2.82784884185e-16,0.184180202174,-6.58197987036e-18,0.23371097496,-0.0,0.298854192295,-0.0,0.412374002251,-1.41488561319e-16,0.431821365501,-0.0,0.47040224754,-0.0,0.48235085239,-1.41559859061e-16,0.470533256609
25.22,-1.41368423852e-16,-0.424963930717,-3.53396737014e-16,-0.462224963448,-1.41372320172e-16,-0.473978060213,-1.41398388483e-16,-0.452993343693,-4.24128369847e-16,-0.329965262142,-2.83719545082e-16,-0.329938605234,-0.0,-0.267220242709,-0.0,-0.202124001101,-1.42099517881e-16,0.197834377621,-1.42606617015e-16,0.249493706573,-0.0,0.326180435894,-0.0,0.356180908484,-0.0,0.404004563756,-0.0,0.45989475853,-0.0,0.469278873781,-3.53410717578e-16,0.458718114555
20.78,-2.82722858664e-16,-0.139308464242,-1.41361922119e-16,-0.13045117774,-2.82721084533e-16,-0.151616141421,-2.93717028726e-18,-0.198849736422,-7.84473259923e-18,-0.522215872676,-1.43202652212e-16,-0.328959772651,-0.0,-0.394347580599,-0.0,-0.449694012248,-1.41990887598e-16,0.436592128135,-1.42141626794e-16,0.395087168599,-0.0,0.321902808281,-0.0,0.169870041914,-0.0,0.194939883122,-0.0,0.144618568535,-0.0,0.118835314334,-1.41409901521e-16,0.118664414795
9.16,-1.41394185031e-16,-0.36592809453,-2.82717388033e-16,-0.405569565529,-0.0,-0.421326257635,-0.0,-0.414773538995,-1.41451621519e-16,-0.115453977751,-1.41724668636e-16,-0.330518238522,-0.0,-0.315898492776,-0.0,-0.271140977973,-1.41512692497e-16,0.231143431244,-1.41583974323e-16,0.28213556926,-0.0,0.342134989782,-0.0,0.293084279751,-1.41453087841e-16,0.441591220037,-0.0,0.460662262566,-0.0,0.454060419181,-2.82788397577e-16,0.423757125073
19.6,-2.16603553018e-18,-0.295529818816,-7.06946363369e-17,-0.246047318063,-1.41379625727e-16,-0.214194746999,-1.41415553522e-16,-0.37472455208,-2.82851743433e-16,-0.686028820956,-2.16742764446e-17,-0.183531855886,-0.0,-0.202479657657,-0.0,-0.242191729736,-2.82943073214e-16,0.323319441954,-1.28926851698e-17,0.273328220358,-0.0,0.232507699979,-0.0,0.796960307307,-0.0,0.173545861607,-0.0,0.164640573301,-0.0,0.182813822249,-2.82746300865e-16,0.227368324516
25.66,-1.41371541467e-16,-0.231043436121,-1.41374470877e-16,-0.190769494154,-2.8274804223e-16,-0.176090667396,-1.41538576042e-16,-0.459203595275,-2.82922432888e-16,-0.19075788884,-1.44034361292e-16,-0.208143688886,-0.0,-0.245104201494,-0.0,-0.293365884836,-1.42054742711e-16,0.400254729529,-1.42333036439e-16,0.349481706445,-0.0,0.300581358813,-0.0,0.851042124227,-0.0,0.192798352699,-0.0,0.149637435292,-0.0,0.145682079594,-3.16791037786e-18,0.173836300766
29.56,-4.59831986369e-05,-0.339219549989,-1.82492337773e-05,-0.28888433747,7.79798763141e-06,-0.249321093531,1.56201087135e-05,-0.744637643603,2.70838991077e-05,-0.172503447791,3.53119053976e-05,-0.149876442016,-3.84030909679e-06,-0.152543740523,-2.89640584979e-05,-0.181322760615,-7.03400394399e-05,0.301773841115,1.25547165489e-05,0.252760395704,1.21906803999e-05,0.304395112603,7.89653100138e-06,0.983349230215,5.15416664213e-07,0.171319963066,-6.30653478685e-06,0.178601328035,-4.30252482873e-06,0.212477265941,-1.58645650886e-06,0.267992821255
9.6,-7.0746819468e-17,-0.293660653181,-1.00087255653e-18,-0.239800774167,-0.0,-0.204011823058,-1.41359486867e-16,-0.228282941415,-1.41492388247e-16,-0.865307781877,-1.41821903112e-16,-0.186680150052,-0.0,-0.206417722657,-0.0,-0.244640749132,-1.41541605336e-16,0.323763510005,-1.41581552934e-16,0.274960138914,-0.0,0.233776216758,-0.0,0.697695367994,-5.04472552753e-18,0.173841196878,-0.0,0.164486303586,-0.0,0.182414017329,-1.41498127583e-16,0.227059436765
6.32,-1.41408999285e-16,-0.474865766239,-1.32232947024e-18,-0.481717615302,-0.0,-0.466957195249,-0.0,-0.471948225393,-1.41437653693e-16,-0.461905477173,-7.24782063131e-18,-0.28117689582,-0.0,-0.208077383593,-0.0,-0.149375149379,-2.82789325725e-16,0.139699756453,-2.12151127541e-16,0.175596551723,-0.0,0.23472380206,-0.0,0.692855877399,-5.93560567227e-18,0.377444788678,-0.0,0.426786552075,-0.0,0.458773845463,-2.12160476472e-16,0.473138149696
16.32,-1.4137561536e-16,-0.474238251938,-1.41359115619e-16,-0.479837242445,-1.41358089354e-16,-0.463825872562,-1.41359463797e-16,-0.446405605045,-5.24968406535e-18,-0.437403134839,-1.42306668529e-16,-0.267468641129,-0.0,-0.204661522907,-0.0,-0.146908761287,-2.82877307189e-16,0.141160818592,-1.4181377909e-16,0.175962383076,-0.0,0.234084145496,-0.0,0.635215477596,-2.82718729642e-16,0.378880614573,-0.0,0.426749595884,-0.0,0.458998591725,-4.75579310037e-18,0.473268377658
9.96,-2.82732509939e-16,-0.16383160862,-9.4630349794e-19,-0.20230837475,-0.0,-0.250909553803,-1.41359086536e-16,-0.304655761324,-1.41486429788e-16,0.0744379398741,-1.41858219055e-16,-0.410977285302,-0.0,-0.446820898391,-0.0,-0.460424998244,-1.41542570963e-16,0.415919964485,-4.24161158672e-16,0.428224520837,-0.0,0.419497265611,-0.0,-0.0290190295141,-1.414405839e-16,0.360447450173,-0.0,0.316717960181,-0.0,0.268297711136,-1.41494043113e-16,0.218897850018
26.1,-3.53397954919e-16,-0.299166153791,-1.41358776792e-16,-0.344433646376,-1.41362786453e-16,-0.377791651013,-1.41388315705e-16,-0.218471862269,-1.41479978577e-16,0.0828653397733,-1.43389891318e-16,-0.315766370458,-0.0,-0.370682725682,-0.0,-0.336953570147,-1.29143840654e-17,0.292505620965,-1.42471057783e-16,0.338929853353,-0.0,0.382460947193,-0.0,0.356293890254,-0.0,0.439877409045,-0.0,0.44197975688,-0.0,0.417867193511,-2.12059749827e-16,0.371281000641
17.24,-1.41374316821e-16,-0.437440923464,-2.82716536975e-16,-0.465274691688,-2.92751781953e-19,-0.469421779536,-2.82717062058e-16,-0.450266851316,-3.53436027341e-16,-0.286593826386,-1.72742140112e-17,-0.314694545952,-0.0,-0.251757405463,-0.0,-0.185263738394,-1.41719728642e-16,0.185534402564,-1.22663553077e-17,0.236481377291,-0.0,0.301535251662,-0.0,0.432582131006,-2.82717678689e-16,0.427122696023,-0.0,0.468080604496,-0.0,0.480468879238,-4.63692152935e-18,0.469864889168
2.38,-2.12093627341e-16,-0.473008682038,-2.09326619946e-18,-0.457680885589,-0.0,-0.423914875226,-0.0,-0.443632909083,-1.41404011151e-16,-0.457377707822,-4.24252925022e-18,-0.205552330257,-0.0,-0.16735492536,-0.0,-0.129833225158,-1.41514184129e-16,0.141812942322,-4.24119002932e-16,0.15344475625,-0.0,0.189625593106,-0.0,0.659031816128,-2.82782319822e-16,0.309898184314,-0.0,0.365618203588,-0.0,0.410792601829,-1.41610620552e-16,0.445362136345
